aalib 1.4rc5-12
patch 2.7.6-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
perl 5.26.2-1
perl-error 0.17025-2
perl-mailtools 2.20-1
perl-timedate 2.30-4
phodav 2.2-2
php 7.2.5-1
pinentry 1.1.0-2
pipewire 0.1.9-1
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.114-1
poppler 0.64.0-1
poppler-glib 0.64.0-1
popt 1.16-9
portaudio 190600_20161030-1
powertop 2.9-1
procps-ng 3.3.14-1
protobuf 3.5.2-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pygobject-devel 3.28.2-1
python 3.6.5-2
python-appdirs 1.4.3-1
python-atspi 2.26.0-1
python-botocore 1.10.10-1
python-cached-property 1.4.2-1
python-cairo 1.17.0-1
python-chardet 3.0.4-1
python-colorama 0.3.9-1
python-dateutil 2.7.2-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-docker 3.3.0-1
python-docker-pycreds 0.2.3-1
python-dockerpty 0.4.1-2
python-docopt 0.6.2-4
python-docutils 0.14-1
python-gobject 3.28.2-1
python-idna 2.6-1
python-jmespath 0.9.3-1
python-jsonschema 2.6.0-2
python-packaging 16.8-2
python-pyasn1 0.4.2-1
python-pyparsing 2.2.0-1
python-requests 2.18.4-1
python-rsa 3.4.2-2
python-s3transfer 0.1.13-3
python-setuptools 1:39.1.0-1
python-six 1.11.0-1
python-texttable 1.2.1-1
python-urllib3 1.22-1
python-websocket-client 0.47.0-1
python-xdg 0.25-4
python-yaml 3.12-3
python2 2.7.14-3
python2-appdirs 1.4.3-1
python2-asn1crypto 0.24.0-1
python2-bcrypt 3.1.4-1
python2-cffi 1.11.5-1
python2-crypto 2.6.1-5
python2-cryptography 2.2.2-1
python2-enum34 1.1.6-1
python2-idna 2.6-1
python2-ipaddress 1.0.22-1
python2-jinja 2.10-1
python2-markupsafe 1.0-1
python2-packaging 16.8-2
python2-paramiko 2.4.1-1
python2-ply 3.11-1
python2-pyasn1 0.4.2-1
python2-pycparser 2.18-1
python2-pynacl 1.2.1-1
python2-pyparsing 2.2.0-1
python2-setuptools 1:39.1.0-1
python2-six 1.11.0-1
python2-yaml 3.12-3
qemu 2.12.0-1
readline 7.0.003-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.4-1
rust 1:1.25.0-1
rygel 0.36.1-1
s-nail 14.9.10-1
